"Name","Runtime","perception_loss","predict_only","use_prior","prune","N","nrm_loss","percept_loss","train_accuracy","test_accuracy","test_accuracy_prior","test_digit_accuracy","test_explain_accuracy","test_time","train_accuracy_prior","train_digit_accuracy","train_explain_accuracy","epoch_time"
"splendid-sweep-18","8478","log-q","","","true","7","3.5959593516129713","0.8532304534545312","0.9879807692307692","0.8625","0.8625","0.9889881213506064","0.9886905034383138","8.701703071594238","0.9879807692307692","0.999141486791464","0.999141486791464","82.67449355125427"
"colorful-sweep-17","5225","log-q","true","","false","7","8.100263962378868","0.5209337518765376","0.9927884615384616","0.8902777777777777","0.8902777777777777","0.9913690739207798","0","6.125663757324219","0.9951923076923076","0.9996565947165856","0","63.23416185379028"
"gentle-sweep-36","8740","log-q","true","false","false","7","16.38750927264874","17.050569387582634","0","0","0","0.11355159282684328","0","9.225123643875122","0","0.1061126420704218","0","78.66547560691833"
"prime-sweep-20","5076","log-q","true","","false","7","8.127575195752657","0.5233843360955899","0.9951923076923076","0.8916666666666667","0.8888888888888888","0.991369072596232","0","3.829318046569824","0.9951923076923076","0.9996565947165856","0","41.91554617881775"
"driven-sweep-31","8086","log-q","true","false","false","7","7.60200625199538","8.368289122214684","0.06490384615384616","0.004166666666666667","0.0125","0.7514087624020047","0","7.601483345031738","0.06490384615384616","0.7541209161281586","0","72.693190574646"
"rare-sweep-18","11851","log-q","","","false","7","353.6844529371995","0.644381624001723","0.9855769230769232","0.8930555555555556","0.8916666666666667","0.9913690739207798","0.92694448100196","11.351134777069092","0.9855769230769232","0.9989697841497568","0.933207454589697","105.46475958824158"
"grateful-sweep-18","5115","log-q","true","","false","7","8.054820390848013","0.5143061543886478","0.9927884615384616","0.875","0.875","0.990277808242374","0","6.027313470840454","0.9951923076923076","0.9993131894331712","0","52.62362647056579"
"easy-sweep-40","5192","log-q","true","false","false","7","4.741794375272898","5.128963763897236","0.2115384615384615","0.044444444444444446","0.07222222222222222","0.8456944823265076","0","3.890045166015625","0.23557692307692307","0.8622939976362082","0","45.243550300598145"
"balmy-sweep-21","8436","log-q","false","","true","7","3.7537002746875463","0.8362015600387867","0.9951923076923076","0.9069444444444444","0.9069444444444444","0.9928571621576944","0.9928571634822422","7.154295206069946","0.9951923076923076","0.9993131894331712","0.9993131894331712","71.97007775306702"
"dutiful-sweep-33","7898","log-q","","","false","6","340.3784612840222","0.48773400437447334","0.9899193548387096","0.875","0.8773584905660378","0.9887971878051758","0.9131289529350568","6.787424087524414","0.9899193548387096","0.998823929217554","0.9252352349219783","69.20063591003418"
"celestial-sweep-35","8734","log-q","true","","false","6","6.835246009211386","0.40809666629760494","0.9919354838709676","0.9233490566037736","0.9268867924528302","0.9933176220587964","0","8.298932313919067","0.9939516129032258","0.99915994944111","0","79.42892861366272"
"vital-sweep-33","8162","log-q","","","true","6","2.138580399174844","0.609341723303641","1","0.8974056603773585","0.8985849056603774","0.9907625924866156","0.9906643224212358","7.023019790649414","1","1","1","72.42216205596924"
"polar-sweep-34","8702","log-q","","","true","6","2.105007202394547","0.6223821293923163","0.997983870967742","0.9115566037735848","0.9115566037735848","0.9917452976388752","0.9917452976388752","7.090317010879517","1","1","0.999831989888222","73.84738087654114"
"atomic-sweep-69","8197","log-q","true","false","false","6","6.6172034817357215","6.2811098714028635","0.07459677419354839","0.01650943396226415","0.02004716981132075","0.7010613409978039","0","7.570272445678711","0.05846774193548387","0.695060505021003","0","74.43853878974915"
"atomic-sweep-33","12292","log-q","false","","false","6","339.18346478862145","0.4765718771565345","0.9919354838709676","0.910377358490566","0.910377358490566","0.9918435677042547","0.9174528493071502","11.16901421546936","0.9919354838709676","0.998991939329332","0.9248992108529612","107.64454865455627"
"fancy-sweep-34","8427","log-q","false","","true","6","2.144735059430522","0.6374262552107534","0.995967741935484","0.9080188679245284","0.9044811320754716","0.9909591382404545","0.991253950685825","8.018206596374512","0.995967741935484","0.999663979776444","0.999663979776444","77.433926820755"
"noble-sweep-66","5129","log-q","true","false","false","6","4.868153748973723","5.129396900053947","0.1693548387096774","0.015330188679245285","0.015330188679245285","0.7014544212593222","0","3.71587872505188","0.1693548387096774","0.7019489484448587","0","42.737581968307495"
"breezy-sweep-34","8714","log-q","true","","false","6","6.829838814273957","0.38977291795515245","0.995967741935484","0.8974056603773585","0.8997641509433962","0.9905660523558564","0","7.641308784484863","0.995967741935484","0.999663979776444","0","79.54014229774475"
"glorious-sweep-32","7844","log-q","","","false","6","338.9002459126134","0.4145845270925953","1","0.9091981132075472","0.9091981132075472","0.9917452965142592","0.9178459318179004","7.69109034538269","1","1","0.9255712551455344","76.34485578536987"
"fallen-sweep-64","5080","log-q","true","false","false","6","5.235281682783557","6.240793689604728","0.11088709677419356","0.014150943396226415","0.015330188679245285","0.6980149543510293","0","6.267681360244751","0.1310483870967742","0.7007728718942211","0","54.889013051986694"
"electric-sweep-67","8267","log-q","true","false","false","6","14.163507400020476","14.49247181800104","0","0","0","0.11448506561090362","0","7.530962228775024","0","0.10450269017488724","0","75.18472051620483"
"eager-sweep-31","8769","log-q","true","","false","6","6.870100913509246","0.371638995985831","0.997983870967742","0.9056603773584906","0.9127358490566038","0.9921383790250096","0","7.631480693817139","0.997983870967742","0.999831989888222","0","79.4967873096466"
"worldly-sweep-35","9322","log-q","true","","false","6","6.878569510675246","0.3949902144170577","0.9939516129032258","0.8785377358490566","0.8785377358490566","0.988797183306712","0","7.51833701133728","0.9939516129032258","0.999495969664666","0","82.3821816444397"
"rare-sweep-70","4978","log-q","true","false","false","6","3.737615300763038","4.0342535895686","0.3286290322580645","0.10613207547169812","0.1580188679245283","0.8626179436467728","0","4.742339849472046","0.3548387096774194","0.8743279768574622","0","51.25349164009094"
"whole-sweep-61","5108","log-q","true","false","false","6","3.75139441028718","4.348919576214206","0.2923387096774194","0.12028301886792452","0.16863207547169812","0.8604559943361102","0","3.757677555084229","0.3165322580645161","0.8681115777261795","0","43.34272789955139"
